experiment,backend_label,mode,label,parameter,shots,p0,p1,expected_p0,error,notes
bell,aer-noisy(generic_backend_5q),noisy,0|11,0.0,4096,0.481689453125,0.518310546875,nan,nan,joint outcome 11
bell,aer-noisy(generic_backend_5q),noisy,0|corr,0.0,4096,0.99169921875,nan,1.0,0.00830078125,signed correlation = (P00+P11)-(P01+P10); ideal = cos(theta)
bell,aer-noisy(generic_backend_5q),noisy,pi/4|00,0.7853981633974483,4096,0.423095703125,0.576904296875,nan,nan,joint outcome 00
bell,aer-noisy(generic_backend_5q),noisy,pi/4|01,0.7853981633974483,4096,0.0830078125,0.9169921875,nan,nan,joint outcome 01
bell,aer-noisy(generic_backend_5q),noisy,pi/4|10,0.7853981633974483,4096,0.078369140625,0.921630859375,nan,nan,joint outcome 10
bell,aer-noisy(generic_backend_5q),noisy,pi/4|11,0.7853981633974483,4096,0.41552734375,0.58447265625,nan,nan,joint outcome 11
bell,aer-noisy(generic_backend_5q),noisy,pi/4|corr,0.7853981633974483,4096,0.67724609375,nan,0.7071067811865476,0.029860687436547573,signed correlation = (P00+P11)-(P01+P10); ideal = cos(theta)
bell,aer-noisy(generic_backend_5q),noisy,pi/2|00,1.5707963267948966,4096,0.251708984375,0.748291015625,nan,nan,joint outcome 00
bell,aer-noisy(generic_backend_5q),noisy,pi/2|01,1.5707963267948966,4096,0.253662109375,0.746337890625,nan,nan,joint outcome 01
bell,aer-noisy(generic_backend_5q),noisy,pi/2|10,1.5707963267948966,4096,0.24658203125,0.75341796875,nan,nan,joint outcome 10
bell,aer-noisy(generic_backend_5q),noisy,pi/2|11,1.5707963267948966,4096,0.248046875,0.751953125,nan,nan,joint outcome 11
bell,aer-noisy(generic_backend_5q),noisy,pi/2|corr,1.5707963267948966,4096,-0.00048828125,nan,6.123233995736766e-17,0.0004882812500000613,signed correlation = (P00+P11)-(P01+P10); ideal = cos(theta)
bell,aer-noisy(generic_backend_5q),noisy,3pi/4|00,2.356194490192345,4096,0.075927734375,0.924072265625,nan,nan,joint outcome 00
bell,aer-noisy(generic_backend_5q),noisy,3pi/4|01,2.356194490192345,4096,0.42724609375,0.57275390625,nan,nan,joint outcome 01
bell,aer-noisy(generic_backend_5q),noisy,3pi/4|10,2.356194490192345,4096,0.42724609375,0.57275390625,nan,nan,joint outcome 10
bell,aer-noisy(generic_backend_5q),noisy,3pi/4|11,2.356194490192345,4096,0.069580078125,0.930419921875,nan,nan,joint outcome 11
bell,aer-noisy(generic_backend_5q),noisy,3pi/4|corr,2.356194490192345,4096,-0.708984375,nan,-0.7071067811865475,0.0018775938134525383,signed correlation = (P00+P11)-(P01+P10); ideal = cos(theta)
bell,aer-noisy(generic_backend_5q),noisy,pi|00,3.141592653589793,4096,0.003173828125,0.996826171875,nan,nan,joint outcome 00
bell,aer-noisy(generic_backend_5q),noisy,pi|01,3.141592653589793,4096,0.51318359375,0.48681640625,nan,nan,joint outcome 01
bell,aer-noisy(generic_backend_5q),noisy,pi|10,3.141592653589793,4096,0.480224609375,0.519775390625,nan,nan,joint outcome 10
bell,aer-noisy(generic_backend_5q),noisy,pi|11,3.141592653589793,4096,0.00341796875,0.99658203125,nan,nan,joint outcome 11
bell,aer-noisy(generic_backend_5q),noisy,pi|corr,3.141592653589793,4096,-0.98681640625,nan,-1.0,0.01318359375,signed correlation = (P00+P11)-(P01+P10); ideal = cos(theta)
